id,first_name,last_name,email,gender,date_of_birth,country_of_birth,car_id,id,make,model,price
,,,,,,,,1,Volkswagen,Jetta,69034.24
,,,,,,,,2,Scion,xB,51376.47
10,Kris,Spridgen,,Male,2020-09-13,Russia,3,3,Chrysler,Cirrus,73048.14
,,,,,,,,4,Ford,Econoline E250,71449.93
7,Cornall,Habert,chabert6@ameblo.jp,Genderqueer,2018-05-18,Vietnam,5,5,Mitsubishi,Mirage,50695.83
,,,,,,,,6,Jaguar,XK Series,99831.51
5,Kiah,Sexcey,ksexcey4@cbc.ca,Genderqueer,2018-01-24,Argentina,7,7,Pontiac,Firefly,20974.59
9,Alameda,Lukock,alukock8@ca.gov,Genderqueer,2020-07-27,Philippines,8,8,Volkswagen,Tiguan,86038.48
2,Amalie,Mulder,amulder1@cnn.com,Bigender,2020-01-25,France,9,9,Suzuki,XL-7,80150.80
1,Hermione,McEntagart,hmcentagart0@tripadvisor.com,Agender,2018-07-04,Brazil,,,,,
8,Ariel,Basilio,abasilio7@opensource.org,Non-binary,2019-01-27,Indonesia,,,,,
6,Willi,Ousbie,wousbie5@auda.org.au,Female,2019-06-04,Portugal,,,,,
4,Linell,Skett,lskett3@wordpress.com,Female,2019-06-17,Bulgaria,,,,,
3,Sayre,Mewes,smewes2@yellowbook.com,Female,2017-07-26,Sweden,,,,,
